"P(i,k)",Value
"Row(_1=0, _2=0)",-8157219
"Row(_1=0, _2=1)",9876070
"Row(_1=0, _2=2)",-3850066
"Row(_1=0, _2=3)",621377
"Row(_1=0, _2=4)",-4922325
"Row(_1=0, _2=5)",-2224661
"Row(_1=0, _2=6)",-5149789
"Row(_1=0, _2=7)",2164579
"Row(_1=0, _2=8)",7413191
"Row(_1=0, _2=9)",-4287011
"Row(_1=0, _2=10)",5032843
"Row(_1=0, _2=11)",6393173
"Row(_1=0, _2=12)",10594106
"Row(_1=0, _2=13)",3040397
"Row(_1=0, _2=14)",5102324
"Row(_1=0, _2=15)",-15458021
"Row(_1=0, _2=16)",9421026
"Row(_1=0, _2=17)",-597896
"Row(_1=0, _2=18)",-3156344
"Row(_1=0, _2=19)",-7163325
"Row(_1=0, _2=20)",-2229843
"Row(_1=0, _2=21)",9814659
"Row(_1=0, _2=22)",-6394470
"Row(_1=0, _2=23)",2721281
"Row(_1=0, _2=24)",5671704
"Row(_1=0, _2=25)",2712195
"Row(_1=0, _2=26)",760418
"Row(_1=0, _2=27)",-7842679
"Row(_1=0, _2=28)",-6978111
"Row(_1=0, _2=29)",-4118691
"Row(_1=0, _2=30)",-2024245
"Row(_1=0, _2=31)",-2779476
"Row(_1=0, _2=32)",-13453770
"Row(_1=0, _2=33)",-6609306
"Row(_1=0, _2=34)",12157224
"Row(_1=0, _2=35)",-7561297
"Row(_1=0, _2=36)",-2405130
"Row(_1=0, _2=37)",-3895794
"Row(_1=0, _2=38)",-6738910
"Row(_1=0, _2=39)",2693877
"Row(_1=0, _2=40)",-7600629
"Row(_1=0, _2=41)",9192556
"Row(_1=0, _2=42)",-2894680
"Row(_1=0, _2=43)",3894965
"Row(_1=0, _2=44)",4976595
"Row(_1=0, _2=45)",-68107
"Row(_1=0, _2=46)",-1906094
"Row(_1=0, _2=47)",1066081
"Row(_1=0, _2=48)",8624119
"Row(_1=0, _2=49)",4337295
"Row(_1=0, _2=50)",-1467702
"Row(_1=0, _2=51)",-1446855
"Row(_1=0, _2=52)",5333456
"Row(_1=0, _2=53)",-2410139
"Row(_1=0, _2=54)",-1388338
"Row(_1=0, _2=55)",1913974
"Row(_1=0, _2=56)",-3612852
"Row(_1=0, _2=57)",-432080
"Row(_1=0, _2=58)",5556635
"Row(_1=0, _2=59)",-7194197
"Row(_1=0, _2=60)",1287900
"Row(_1=0, _2=61)",-3218673
"Row(_1=0, _2=62)",-4137767
"Row(_1=0, _2=63)",-653640
"Row(_1=0, _2=64)",6960287
"Row(_1=0, _2=65)",-2137311
"Row(_1=0, _2=66)",2160507
"Row(_1=0, _2=67)",-2221904
"Row(_1=0, _2=68)",4206606
"Row(_1=0, _2=69)",-4279310
"Row(_1=0, _2=70)",7910387
"Row(_1=0, _2=71)",1899347
"Row(_1=0, _2=72)",-6350385
"Row(_1=0, _2=73)",-1309889
"Row(_1=0, _2=74)",-9494728
"Row(_1=0, _2=75)",-1463591
"Row(_1=0, _2=76)",875582
"Row(_1=0, _2=77)",8331256
"Row(_1=0, _2=78)",5968832
"Row(_1=0, _2=79)",-749332
"Row(_1=0, _2=80)",-4326294
"Row(_1=0, _2=81)",905600
"Row(_1=0, _2=82)",-6577227
"Row(_1=0, _2=83)",-5533453
"Row(_1=0, _2=84)",-690574
"Row(_1=0, _2=85)",1988292
"Row(_1=0, _2=86)",1266603
"Row(_1=0, _2=87)",-5160319
"Row(_1=0, _2=88)",-2644850
"Row(_1=0, _2=89)",819377
"Row(_1=0, _2=90)",3456855
"Row(_1=0, _2=91)",3637903
"Row(_1=0, _2=92)",-9156003
"Row(_1=0, _2=93)",-7007282
"Row(_1=0, _2=94)",980781
"Row(_1=0, _2=95)",5036788
"Row(_1=0, _2=96)",696499
"Row(_1=0, _2=97)",994166
"Row(_1=0, _2=98)",4070270
"Row(_1=0, _2=99)",1202292
"Row(_1=0, _2=100)",8156276
"Row(_1=0, _2=101)",143012
"Row(_1=0, _2=102)",-1021749
"Row(_1=0, _2=103)",8113807
"Row(_1=0, _2=104)",-5475368
"Row(_1=0, _2=105)",-10008994
"Row(_1=0, _2=106)",1730048
"Row(_1=0, _2=107)",-2692369
"Row(_1=0, _2=108)",9154086
"Row(_1=0, _2=109)",-4920236
